Asset,Date,Time,Stop Loss,Trade Type,System Strategy,Timeframe,HTF Trend,Trade From,Day of Week,Direction,Result,R,Rolling R,Trade ID,Month,Trading Session
GBPJPY,2023-06-30,10:00:00,43.9,Trend-Continuation,ac,60.0,Yes,LTF KZ3,Friday,Long,-33.0,-0.75,-0.75,1,June 2023,Asia
NZDUSD,2023-06-30,15:00:00,18.0,Advanced Pattern,APB,60.0,Yes,Pi,Friday,Short,-13.2,-0.73,-1.48,2,June 2023,Asia
USDJPY,2023-07-03,15:11:00,31.5,Counter-Trend,RS,60.0,No,Pi,Monday,Short,-31.5,-1.0,-2.48,3,July 2023,Asia
AUDUSD,2023-07-03,19:00:00,30.3,Trend-Continuation,DB,60.0,No,Limit Order,Monday,Long,39.0,1.29,-1.19,4,July 2023,London
EURUSD,2023-07-04,11:10:00,34.3,Counter-Trend,DT,60.0,Yes,LTF KZ3,Tuesday,Short,47.0,1.37,0.18000000000000016,5,July 2023,Asia
NZDUSD,2023-07-05,12:00:00,24.9,Counter-Trend,DT,60.0,Yes,TTF KZ3,Wednesday,Short,27.0,1.08,1.2600000000000002,6,July 2023,Asia
XAUUSD,2023-07-06,23:00:00,115.24,Advanced Pattern,APC,60.0,No,Limit Order,Thursday,Long,175.06,1.52,2.7800000000000002,7,July 2023,London
AUDUSD,2023-07-07,17:00:00,27.1,Trend-Continuation,AC,60.0,Yes,RS,Friday,Short,-27.1,-1.0,1.7800000000000002,8,July 2023,London
USDCAD,2023-07-07,08:00:00,25.2,Counter-Trend,DT,60.0,No,HTF KZ1,Friday,Short,92.0,3.65,5.43,9,July 2023,Asia
AUS200,2023-07-10,12:30:00,14.9,Advanced Pattern,APB,5.0,Yes,StrLoHi,Monday,Long,-14.9,-1.0,4.43,10,July 2023,Asia
AUDCAD,2023-07-10,16:39:00,21.0,Advanced Pattern,APB,60.0,Yes,LTF KZ3,Monday,Long,-21.0,-1.0,3.4299999999999997,11,July 2023,Asia
GBPUSD,2023-07-12,16:18:00,22.8,Counter-Trend,DT,60.0,No,StrLoHi,Wednesday,Short,28.0,1.23,4.66,12,July 2023,Asia
GBPJPY,2023-07-11,11:00:00,73.2,Trend-Continuation,AC,60.0,Yes,RS,Tuesday,Short,150.0,2.05,6.71,13,July 2023,Asia
AUDUSD,2023-07-13,09:00:00,31.8,Advanced Pattern,APB,240.0,No,LTF KZ3,Thursday,Short,-31.8,-1.0,5.71,14,July 2023,Asia
XAUUSD,2023-07-14,06:24:00,114.5,Advanced Pattern,APB,240.0,No,VPP,Friday,Short,-10.96,-0.1,5.61,15,July 2023,New York
NZDUSD,2023-07-14,11:25:00,18.9,Counter-Trend,DT,60.0,No,LTF KZ3,Friday,Short,-18.9,-1.0,4.61,16,July 2023,Asia
AUDUSD,2023-07-14,16:20:00,21.6,Counter-Trend,DT,60.0,No,HTF KZ3,Friday,Short,41.4,1.92,6.53,17,July 2023,Asia
NZDUSD,2023-07-17,10:17:00,26.0,Advanced Pattern,APC,60.0,Yes,iS KZ3,Monday,Long,-26.0,-1.0,5.53,18,July 2023,Asia
USDCAD,2023-07-17,12:25:00,23.5,Counter-Trend,AC,60.0,Yes,LTF KZ3,Monday,Short,31.0,1.32,6.8500000000000005,19,July 2023,Asia
USDJPY,2023-07-17,20:00:00,34.0,Advanced Pattern,APG,60.0,No,iS KZ3,Monday,Long,53.0,1.56,8.41,20,July 2023,London
AUDUSD,2023-07-19,05:53:00,35.3,Counter-Trend,DB,60.0,Yes,LTF KZ1,Wednesday,Long,-35.3,-1.0,7.41,21,July 2023,New York
NZDUSD,2023-07-19,05:59:00,33.0,Counter-Trend,DB,60.0,Yes,LTF KZ1,Wednesday,Long,-22.0,-0.67,6.74,22,July 2023,New York
GBPUSD,2023-07-19,09:02:00,30.5,Counter-Trend,DB,60.0,Yes,Pi,Wednesday,Long,-15.0,-0.49,6.25,23,July 2023,Asia
AUDCAD,2023-07-19,11:51:00,33.0,Advanced Pattern,APB,60.0,Yes,Limit Order,Wednesday,Long,-33.0,-1.0,5.25,24,July 2023,Asia
GBPJPY,2023-07-20,00:00:00,80.4,Advanced Pattern,APB,60.0,No,LTF KZ3,Thursday,Long,0.0,0.0,5.25,25,July 2023,New York
USDCAD,2023-07-20,07:08:00,44.1,Trend-Continuation,DescT,60.0,Yes,TTF KZ3,Thursday,Short,-20.1,-0.46,4.79,26,July 2023,Asia
audcad,2023-07-20,12:00:00,24.9,Advanced Pattern,APC,60.0,Yes,Limit Order,Thursday,Short,-24.9,-1.0,3.79,27,July 2023,Asia
USDCAD,2023-07-21,09:33:00,21.9,Trend-Continuation,PB,60.0,No,RS,Friday,Long,29.0,1.32,5.11,28,July 2023,Asia
NZDUSD,2023-07-24,16:14:00,22.5,Counter-Trend,RS,60.0,No,HTF KZ1,Monday,Long,34.0,1.51,6.62,29,July 2023,Asia
GBPJPY,2023-07-24,23:00:00,79.0,Advanced Pattern,APG,60.0,Yes,StrLoHi,Monday,Long,115.0,1.46,8.08,30,July 2023,London
USDCAD,2023-07-25,15:03:00,23.0,Counter-Trend,DB,60.0,Yes,LTF KZ3,Tuesday,Long,-35.0,-1.52,6.5600000000000005,31,July 2023,Asia
AUDCAD,2023-07-26,11:00:00,17.0,Advanced Pattern,APB,60.0,Yes,StrLoHi,Wednesday,Long,-17.0,-1.0,5.5600000000000005,32,July 2023,Asia
EURUSD,2023-07-26,14:45:00,27.3,Counter-Trend,RS,60.0,No,RS,Wednesday,Long,36.6,1.34,6.9,33,July 2023,Asia
USDJPY,2023-07-27,07:08:00,57.3,Advanced Pattern,APG,60.0,Yes,LTF KZ3,Thursday,Long,-13.5,-0.24,6.66,34,July 2023,Asia
USDJPY,2023-07-27,18:20:00,59.3,Trend-Continuation,PB,60.0,No,VPP,Thursday,Short,-59.5,-1.0,5.66,35,July 2023,London
AUDCAD,2023-07-27,20:00:00,40.6,Counter-Trend,DT,60.0,No,LTF KZ3,Thursday,Short,53.8,1.33,6.99,36,July 2023,London
GBPJPY,2023-07-28,03:00:00,70.9,Advanced Pattern,APB,60.0,Yes,HTF KZ3,Friday,Long,-70.9,-1.0,5.99,37,July 2023,New York
AUDCAD,2023-07-28,09:24:00,34.6,Counter-Trend,DB,60.0,No,iS KZ3,Friday,Long,-34.6,-1.0,4.99,38,July 2023,Asia
USDCAD,2023-07-28,16:58:00,38.0,Counter-Trend,DT,60.0,No,LTF KZ3,Friday,Short,55.0,1.45,6.44,39,July 2023,Asia
AUDUSD,2023-07-28,17:01:00,78.4,Advanced Pattern,APB,60.0,No,iS KZ3,Friday,Long,78.4,1.0,7.44,40,July 2023,London
AUDCAD,2023-07-31,16:31:00,45.4,Advanced Pattern,APB,60.0,Yes,LTF KZ1,Monday,Short,75.5,1.66,9.1,41,July 2023,Asia
EURUSD,2023-08-02,08:17:00,18.0,Advanced Pattern,APB,60.0,Yes,LTF KZ1,Wednesday,Short,-18.0,-1.0,8.1,42,August 2023,Asia
USDJPY,2023-08-21,17:43:00,41.5,Trend-Continuation,PB,60.0,,,Monday,Short,41.5,1.0,9.1,44,August 2023,London
GBPUSD,2023-08-22,10:11:00,20.0,Trend-Continuation,AT,60.0,,,Tuesday,Long,28.6,1.43,10.53,45,August 2023,Asia
AUDUSD,2023-08-22,17:00:00,22.6,Counter-Trend,APB,60.0,,,Tuesday,Short,0.0,0.0,10.53,46,August 2023,London
AUDCAD,2023-08-22,06:59:00,21.0,Trend-Continuation,APB,60.0,,,Tuesday,Short,35.7,1.7,12.229999999999999,47,August 2023,New York
AUDCAD,2023-08-23,09:33:00,20.6,Trend-Continuation,PB,60.0,,TL,Wednesday,Long,-7.0,-0.34,11.889999999999999,48,August 2023,Asia
NZDUSD,2023-08-23,16:35:00,17.8,Trend-Continuation,PB,60.0,,TL,Wednesday,Long,-17.8,-1.0,10.889999999999999,49,August 2023,Asia
USDCAD,2023-08-23,16:58:00,27.4,Trend-Continuation,SF,60.0,,TL,Wednesday,Long,48.0,1.75,12.639999999999999,50,August 2023,Asia
USDJPY,2023-08-23,23:00:00,38.0,Trend-Continuation,APB,60.0,Yes,HTF KZ3,Wednesday,Long,-38.0,-1.0,11.639999999999999,51,August 2023,London
NZDUSD,2023-08-24,07:22:00,20.0,Trend-Continuation,PB,60.0,Yes,TL,Thursday,Long,-20.0,-1.0,10.639999999999999,52,August 2023,Asia
AUDCAD,2023-08-24,07:26:00,20.0,Trend-Continuation,PB,60.0,Yes,TL,Thursday,Long,-15.0,-0.75,9.889999999999999,53,August 2023,Asia
AUDCAD,2023-08-24,07:29:00,32.2,Counter-Trend,DT,60.0,Yes,LTF KZ3,Thursday,Short,48.0,1.49,11.379999999999999,54,August 2023,Asia
AUDUSD,2023-08-23,07:45:00,28.0,Advanced-Pattern,APG,60.0,Yes,HTF KZ3,Wednesday,Short,35.7,1.28,12.659999999999998,55,August 2023,Asia
USDCAD,2023-08-24,09:03:00,30.0,Trend-Continuation,DB,60.0,Yes,TL,Thursday,Long,43.0,1.43,14.089999999999998,56,August 2023,Asia
USDCAD,2023-08-25,12:52:00,15.2,Counter-Trend,DT,60.0,No,HTF KZ3,Friday,Short,-15.2,-1.0,13.089999999999998,57,August 2023,Asia
USDJPY,2023-08-25,17:03:00,34.0,Counter-Trend,DT,60.0,Yes,TL,Friday,Short,-34.0,-1.0,12.089999999999998,58,August 2023,London
